gene_gencodeV33	FDR_TADA_ASD	FDR_TADA_DD	FDR_TADA_NDD	p_TADA_ASD	p_TADA_DD	p_TADA_NDD
CSTF1	0.518377088	0.792213142	0.423671691	0.035907273	0.197853926	0.053098843
TMEM94	0.51862385	0.850756647	0.424425201	0.035955768	0.337813795	0.053299773
PLPPR2	0.518870229	0.76445808	0.424613193	0.036004266	0.162362259	0.053350017
CYTH2	0.519116224	0.824389762	0.424801024	0.036052768	0.258631255	0.053400263
CDC40	0.519361836	0.78348074	0.424988693	0.036101273	0.185411774	0.053450513
CDC23	0.519607123	0.381943045	0.169168785	0.036149785	0.024135563	0.010834431
AGO3	0.519852029	0.738903324	0.425550752	0.0361983	0.137936653	0.053601285
BCAT1	0.520096588	0.888275476	0.425737805	0.036246821	0.567104871	0.053651551
SOX11	0.520340798	0	0	0.036295347	0	0
NOP14	0.520584677	0.699743656	0.424048736	0.03634388	0.110185689	0.053199297
CXXC1	0.520828183	0.600360753	0.326633765	0.036392415	0.066708047	0.031819449
AVL9	0.521071448	0.836052004	0.426111659	0.036440964	0.289134594	0.053752122
BAZ1B	0.521314309	0.70995514	0.426298392	0.036489514	0.116549913	0.053802418
STT3A	0.521556989	0.827546508	0.4268578	0.03653808	0.266314427	0.053953348
PLCH1	0.521799286	0.791523782	0.427043951	0.036586649	0.196821858	0.054003664
GOLGA3	0.522041266	0.803275951	0.427229974	0.036635225	0.215743102	0.054053988
NDNF	0.522282998	0.831952266	0.427601632	0.036683813	0.27772451	0.054154656
NLRP4	0.522524429	0.867424811	0.427972654	0.036732409	0.413957468	0.054255336
ADGRF5	0.522765565	0.808091281	0.428343087	0.036781014	0.224401004	0.054356035
CARD10	0.523006369	0.820349083	0.428897571	0.036829624	0.249342644	0.05450711
RRAGA	0.52324676	0.272686905	0.104607032	0.036878235	0.013627204	0.005465954
HMBS	0.523486753	0.79285872	0.429266348	0.036926846	0.198828656	0.05460783
VGLL2	0.523726417	0.841505148	0.429450512	0.036975463	0.30564768	0.054658197
COL15A1	0.523965751	0.830570328	0.429634541	0.037024086	0.274054936	0.054708569
VPS39	0.524204746	0.856391109	0.429818429	0.037072715	0.360519288	0.054758946
ST18	0.524443689	0.773008398	0.430185884	0.037121368	0.172109566	0.054859729
DNAH10	0.524682336	0.85696466	0.4303695	0.037170029	0.362984783	0.054910141
HLF	0.524920643	0.338233893	0.142762073	0.037218695	0.019413766	0.008444709
PTGFRN	0.525158845	0.836861546	0.430919662	0.037267383	0.291485415	0.055061427
COL6A6	0.525396698	0.887686389	0.431102802	0.037316074	0.56137116	0.055111871
ABCF3	0.525634173	0.84184661	0.431285779	0.037364768	0.306737085	0.055162316
H2AC21	0.525871716	0.448198506	0.212403675	0.037413495	0.033002161	0.015348807
MAP4K1	0.526109404	0.777725061	0.431651788	0.037462261	0.177900614	0.055263282
NR4A2	0.526346729	6.78E-07	1.12E-07	0.03751103	8.10E-09	1.51E-09
SLMAP	0.526583913	0.756942041	0.432200796	0.037559818	0.154507076	0.055414903
ACSS2	0.526820771	0.879222545	0.432566006	0.037608611	0.48952777	0.055515997
FCGR2B	0.527057497	0.849643096	0.433112845	0.037657423	0.333628186	0.055667683
HCAR2	0.527293885	0.908306385	0.433294854	0.03770624	0.858492029	0.055718257
NFIB	0.527529905	0.002264033	0.000569934	0.037755059	4.48E-05	1.27E-05
ATP1A1	0.527765843	0.62644917	0.359482287	0.037803901	0.075656295	0.038108717
MTSS2	0.528001463	0.783182928	0.434021622	0.037852749	0.185010415	0.055920614
LHX6	0.528236746	0.788185373	0.434203029	0.037901601	0.191948204	0.055971224
ZNF112	0.528471732	0.831994936	0.434565392	0.03795046	0.277839185	0.056072453
PGAP1	0.528706331	0.417839254	0.193117684	0.03799932	0.028648356	0.013240437
ASF1A	0.528940583	0.401834013	0.183497485	0.038048183	0.02655663	0.012247061
HRH2	0.529174498	0.870896291	0.434927197	0.038097051	0.433853443	0.056173701
GADD45A	0.529408312	0.894427439	0.435469026	0.038145939	0.634246618	0.05632563
FAM160B1	0.529641896	0.761512119	0.435829615	0.038194839	0.159208718	0.056426947
ADGRB2	0.529875222	0.761021124	0.436189663	0.038243749	0.158692684	0.056528285
PTPRT	0.530108168	0.468290022	0.232185253	0.03829266	0.036205636	0.017695834
ENTPD2	0.530340773	0.905462345	0.436369464	0.038341574	0.801154926	0.056578959
ZFAND5	0.530573125	0.820810839	0.43654917	0.038390498	0.250374712	0.056629643
CDC42BPA	0.530805112	0.692673435	0.425363558	0.038439424	0.106062325	0.053551024
SRRM1	0.531037013	0.720663148	0.437087686	0.038488372	0.123831725	0.056781753
ATP9A	0.531268559	0.421249193	0.199062581	0.038537322	0.029110972	0.01387279
HIVEP2	0.53149997	1.98E-08	3.04E-09	0.03858629	2.06E-10	3.50E-11
CACNA2D3	0.531731092	0.791022153	0.43744627	0.038635265	0.196076475	0.056883217
PAPSS2	0.531962011	0.883605652	0.437983206	0.038684254	0.524446066	0.057035458
TUBB8	0.532192567	0.906665427	0.43816188	0.038733244	0.824491127	0.057086211
SMC5	0.532422781	0.82717795	0.438518753	0.038782237	0.265397033	0.057187721
CWC25	0.532652713	0.868720028	0.438696994	0.038831237	0.421181943	0.057238484
DCTN1	0.532882341	0.798474816	0.43887511	0.038880243	0.20765857	0.057289253
APP	0.53311164	0.812600585	0.439053084	0.038929253	0.233058907	0.057340026
HNRNPA1	0.533340585	0.642806491	0.374719977	0.038978264	0.082015772	0.041322429
PPTC7	0.533569223	0.797233969	0.439230944	0.039027281	0.205651772	0.057390806
RAE1	0.533797666	0.739447914	0.439763707	0.039076312	0.13839535	0.057543174
ETS2	0.534026293	0.740730122	0.440649677	0.039125383	0.139484755	0.057797309
ZNF318	0.53425459	0.791715874	0.440826466	0.039174458	0.197108543	0.057848149
ATXN2	0.534482595	0.295711186	0.123724932	0.03922354	0.015509567	0.006891763
MYO1E	0.534710234	0.81846857	0.441179635	0.039272622	0.245214373	0.057949843
SUPV3L1	0.53493756	0.823046467	0.44135601	0.039321708	0.255477714	0.058000695
CAMK2B	0.535164672	1.74E-08	2.54E-09	0.039370806	1.81E-10	2.90E-11
PPP1R10	0.535391434	0.722659464	0.441532322	0.039419906	0.125265153	0.058051562
KLF13	0.535617997	0.881802588	0.441884616	0.039469019	0.509538419	0.058153317
LRRC7	0.535844431	0.723997225	0.442762888	0.03951815	0.126239884	0.058407768
AGPAT4	0.536070807	0.836151348	0.442938285	0.039567304	0.28942128	0.05845869
FLRT2	0.536296977	0.25453795	0.101880192	0.03961647	0.012243991	0.005272345
SMURF1	0.536522826	0.79812235	0.443113639	0.03966564	0.207085199	0.058509629
MCRS1	0.536748341	0.82392894	0.443288847	0.039714812	0.25754185	0.05856057
ERLIN1	0.536973506	0.057927519	0.014518463	0.039763986	0.001716637	0.000467195
PEX1	0.537198541	0.854052606	0.443988378	0.039813177	0.35077198	0.058764383
TANC1	0.537423415	0.815237974	0.444337453	0.039862384	0.238391258	0.05886633
MED17	0.537648058	0.867674692	0.444686073	0.039911601	0.415333558	0.058968304
C1orf112	0.537872369	0.862300602	0.44486016	0.03996082	0.387467726	0.059019294
TARDBP	0.538096365	0.769982901	0.44503411	0.040010043	0.168554666	0.059070288
SAMD11	0.538320051	0.900502462	0.445207928	0.04005927	0.716926721	0.059121286
PTCH1	0.538543468	1.99E-12	5.10E-13	0.040108505	1.56E-14	4.61E-15
RNF43	0.538766674	0.801202822	0.445728758	0.04015775	0.212188201	0.059274329
SETD3	0.538989698	0.831113981	0.446075399	0.040207009	0.275488363	0.059376389
AURKB	0.539212394	0.862523845	0.446248503	0.040256271	0.388557131	0.059427422
MPO	0.539434831	0.89510031	0.446421502	0.04030554	0.642503161	0.059478464
TBC1D10C	0.539656995	0.830701257	0.44659439	0.040354815	0.274398958	0.059529512
CPEB2	0.539878945	0.843816553	0.446767199	0.040404102	0.31315884	0.059580572
SHC3	0.540100547	0.587688012	0.334091207	0.040453389	0.06281705	0.03317463
HAPLN2	0.540322142	0.633296638	0.373618468	0.040502703	0.0782415	0.041083778
DOK1	0.540544119	0.850027252	0.447802335	0.040552072	0.335061614	0.059887155
COG1	0.540765772	0.852213267	0.447974671	0.040601444	0.343432831	0.059938303
DLGAP4	0.540987157	0.774530498	0.448146896	0.040650822	0.173944354	0.059989458
TECTA	0.54120822	0.842682114	0.448318981	0.040700203	0.309431929	0.060040615
GIT1	0.541428967	0.630796929	0.372734751	0.040749587	0.077285452	0.04089308
PEX5L	0.541649426	0.827981309	0.448490966	0.040798976	0.267403832	0.060091781
SEMA6A	0.541869637	0.179195473	0.064988028	0.040848373	0.007332784	0.002906585
WAPL	0.542089596	0.07805079	0.022204933	0.040897778	0.00247314	0.000770255
H4C11	0.542309265	0.001464446	0.000387439	0.040947187	2.80E-05	8.31E-06
ANPEP	0.542528698	0.850225853	0.449178082	0.040996605	0.335806996	0.060296549
SHISA9	0.542748114	0.808919184	0.449349685	0.041046049	0.225949106	0.060347771
SYT3	0.542967238	0.807471727	0.449521161	0.041095497	0.223254262	0.060398998
AMPD2	0.543186193	0.701835037	0.44986377	0.041144958	0.111446911	0.06050147
DESI2	0.54340509	0.410528109	0.19971742	0.041194442	0.027676312	0.013943482
SVIL	0.543623781	0.796947488	0.450377174	0.041243937	0.205193075	0.06065527
CNOT1	0.543842194	0.000210396	4.25E-05	0.041293437	3.50E-06	7.68E-07
SEC61A2	0.544060608	0.598247982	0.348317398	0.041342964	0.066040004	0.035876366
TMEM165	0.544278722	0.563054939	0.313817069	0.041392494	0.055970156	0.029586641
GRAMD1B	0.544496754	0.212671376	0.082378045	0.041442044	0.00935726	0.003963391
SNRNP40	0.544714452	0.80759607	0.451230855	0.041491595	0.223483611	0.060911765
STRIP2	0.544932292	0.877662085	0.452082811	0.041541184	0.478117686	0.061168561
TBC1D10A	0.545149904	0.843868333	0.452422806	0.041590781	0.313330852	0.061271323
RASGRP2	0.54536739	0.679747277	0.428528092	0.041640396	0.099036865	0.054406393
PLAG1	0.545584594	0.736067491	0.45293184	0.041690015	0.135585832	0.061425495
CADPS	0.545801463	0.81683214	0.453101308	0.041739635	0.24171681	0.0614769
MAP6	0.546018096	0.841143378	0.453270681	0.041789262	0.304500938	0.061528314
ASAP1	0.546234412	0.736137564	0.453439914	0.041838892	0.135643169	0.061579729
ELL	0.546450393	0.588061874	0.342598275	0.041888523	0.062927996	0.034771531
DISP1	0.546666108	0.845062356	0.453609037	0.041938159	0.317344449	0.061631151
ANKRD52	0.546881749	0.706463253	0.453947017	0.041987815	0.114313766	0.061734022
SYT13	0.547097204	0.822026261	0.454284592	0.042037484	0.253126893	0.061836922
AFF4	0.547312359	0.583337233	0.338495619	0.042087155	0.061542236	0.033994175
TPST2	0.547527178	0.85019535	0.454453206	0.042136827	0.335692322	0.061888381
MSL2	0.547741731	2.40E-11	3.63E-12	0.042186504	2.00E-13	3.41E-14
MYO5A	0.547956006	0.777543049	0.454958247	0.042236186	0.177671265	0.062042774
DGKA	0.548169961	0.799453074	0.455126328	0.042285869	0.209264009	0.062094244
MINK1	0.54838365	0.716396416	0.455294295	0.042335557	0.120850196	0.06214572
SLC35E2A	0.548597031	0.908709795	0.455462124	0.042385247	0.867264606	0.062197198
KIAA1109	0.548810139	0.100118052	0.030466457	0.042434943	0.003383861	0.001127546
ESRP2	0.549022999	0.86060761	0.455629885	0.042484644	0.379383195	0.062248688
SCAMP2	0.549235626	0.83823656	0.45579755	0.042534354	0.29555635	0.062300186
KLHL26	0.549447921	0.885155227	0.455965062	0.042584063	0.537920285	0.062351684
SLC5A7	0.549659955	0.840338929	0.456299683	0.042633778	0.301978105	0.062454688
RHOC	0.54987166	0.832967912	0.456466777	0.042683494	0.280476691	0.062506191
AC118549.1	0.550083169	0.628111418	0.378653367	0.042733219	0.07627405	0.042183723
IFNGR2	0.550294426	0.791639093	0.456633842	0.042782951	0.196993869	0.062557712
PLPPR4	0.55050546	0.799799398	0.456800816	0.04283269	0.20983738	0.062609241
MAP2	0.550716193	0.056781281	0.01557663	0.042882432	0.001675815	0.000507109
ACVR1	0.550926963	0.821243933	0.457301165	0.042932203	0.251349443	0.062763875
HNRNPA3	0.551137486	0.754923209	0.457634295	0.042981979	0.152500277	0.06286701
PAXIP1	0.551347732	0.708356026	0.457800663	0.04303176	0.115517845	0.062918581
CAND2	0.551557669	0.882332675	0.457966888	0.043081541	0.513838702	0.062970154
FBXL2	0.551767537	0.833552342	0.458464847	0.043131343	0.28208213	0.063124899
KLF16	0.551977109	0.907086952	0.458630635	0.043181147	0.832977018	0.063176494
ERBB3	0.552186394	0.648374156	0.400116791	0.043230954	0.084330585	0.047134889
RAB11FIP1	0.552395471	0.876481025	0.459127215	0.04328077	0.469803806	0.063331298
CAMSAP3	0.552604239	0.722501039	0.459292498	0.043330587	0.125150479	0.063382908
SAP130	0.552812696	0.304394909	0.139313201	0.043380405	0.016258961	0.008153312
SLC25A1	0.553020987	0.852183967	0.459622741	0.043430236	0.343318157	0.063486144
TPCN1	0.553229085	0.628711865	0.381683842	0.043480076	0.076498748	0.042856523
NRL	0.553437234	0.892796389	0.460282324	0.043529945	0.615038689	0.06369274
NFKBIL1	0.553645193	0.842735006	0.46061157	0.043579825	0.30960394	0.063796086
MYH1	0.553852834	0.419358361	0.214965965	0.043629705	0.028853752	0.015641839
NOA1	0.554060327	0.863290569	0.460776077	0.043679598	0.39234138	0.063847775
ADAM23	0.554267623	0.77003252	0.460940507	0.043729501	0.168612003	0.063899473
RAPH1	0.554474704	0.751059714	0.46110485	0.043779412	0.148773365	0.06395118
EHBP1L1	0.554681569	0.85344247	0.461597122	0.043829331	0.348306485	0.064106318
KCNJ2	0.554888189	0.666701174	0.421019404	0.043879256	0.092548887	0.052396697
ERBB2	0.555094509	0.346441673	0.169501384	0.043929182	0.020240332	0.010866365
CRAMP1	0.55530055	0.284620264	0.126164279	0.043979111	0.014584302	0.007083038
IL27	0.555506304	0.830723051	0.462088297	0.044029042	0.274456296	0.06426149
BRSK1	0.555711848	0.020671083	0.004988281	0.044078981	0.000516506	0.000138304
KRT19	0.555917104	0.862745955	0.462251829	0.044128923	0.389646536	0.064313228
RPE65	0.556122237	0.893298131	0.462578623	0.044178879	0.620829736	0.064416728
SMARCAD1	0.55632723	0.705184845	0.462905067	0.044228849	0.113511047	0.064520261
GPS1	0.556531963	0.754103805	0.463068109	0.044278823	0.151697558	0.064572033
UCHL1	0.556736388	0.745514557	0.463231006	0.044328798	0.143670363	0.064623806
SOD1	0.556940547	0.885148786	0.463393783	0.044378776	0.537862948	0.064675582
ARF1	0.557144421	1.75E-06	4.01E-07	0.044428756	2.20E-08	5.76E-09
GLI4	0.5573481	0.885634659	0.463718981	0.044478746	0.542220568	0.064779146
PGAP4	0.557551615	0.858220127	0.463881488	0.044528746	0.368489145	0.064830945
YY1	0.557755024	3.02E-09	6.78E-10	0.044578763	2.97E-11	7.45E-12
CTTNBP2	0.557958156	0.845782599	0.464043987	0.044628783	0.319809944	0.064882764
UHRF1BP1L	0.558160982	0.372406363	0.18283219	0.044678803	0.023038442	0.01217972
RPRD2	0.55836351	0.703241868	0.464206346	0.044728823	0.112306968	0.064934584
PPFIA2	0.5585659	0.025631991	0.007050157	0.044778857	0.000660575	0.000204315
MTOR	0.558768019	2.49E-10	1.01E-10	0.044828893	2.25E-12	1.07E-12
AC002316.1	0.55896996	0.785494578	0.464854881	0.04487894	0.188163955	0.06514194
PLEKHG5	0.559171718	0.840833971	0.465178477	0.044928996	0.303526207	0.065245646
TTK	0.559373272	0.822848682	0.465340148	0.044979061	0.255019018	0.065297512
KCNV1	0.559575022	0.777861319	0.465986065	0.045029165	0.178072625	0.06550507
SLC24A1	0.559776543	0.841414931	0.466469459	0.045079276	0.305360994	0.065660804
ICA1L	0.55997779	0.850438851	0.466630334	0.045129389	0.336609716	0.065712719
KLHL2	0.560178748	0.734443045	0.466791075	0.045179503	0.134267078	0.065764636
OGA	0.56037944	0.639883762	0.398894449	0.04522962	0.080831839	0.046840763
ZNF317	0.560579856	0.865784597	0.466951709	0.045279739	0.405127554	0.065816558
STK3	0.560779985	0.876744977	0.467112207	0.045329859	0.471638594	0.065868481
COL11A2	0.560979838	0.782067382	0.467272577	0.045379981	0.18351965	0.065920406
DPP9	0.561179433	0.778988471	0.467432828	0.045430106	0.179506053	0.065972335
EXOC3	0.561378934	0.509981664	0.291593669	0.045480248	0.043830527	0.025973266
SENP7	0.561578274	0.803011702	0.467753117	0.0455304	0.215284405	0.066076222
ABCF2	0.561777347	0.653770127	0.413303242	0.045580556	0.086650196	0.050399381
CEMIP	0.561976225	0.862088055	0.468073154	0.045630719	0.386435658	0.066180154
SLC5A3	0.562174838	0.787743037	0.468232995	0.045680886	0.191317496	0.066232125
FLCN	0.56237329	0.805002883	0.468392774	0.045731063	0.218781968	0.066284107
PARD6G	0.562571498	0.688696015	0.45377805	0.045781244	0.103832222	0.061682579
PLCG1	0.562769493	0.810576123	0.468552491	0.045831432	0.229102647	0.0663361
UBAP2L	0.562967198	0.426114018	0.230032552	0.04588162	0.029781497	0.017430761
RRP12	0.563164704	0.842061164	0.468871604	0.045931816	0.30742513	0.066440102
SCNN1D	0.563361959	0.907555612	0.469030982	0.045982016	0.842609652	0.066492107
RGS12	0.563558946	0.846394475	0.469190233	0.046032217	0.321931417	0.066544115
RFX2	0.563755771	0.745961869	0.469508398	0.046082429	0.144071723	0.066648142
ST3GAL2	0.563952338	0.441266466	0.240101263	0.046132644	0.031959083	0.018690734
DNMT1	0.564148633	0.509442609	0.292686952	0.04618286	0.043722703	0.026144087
ESPL1	0.564345068	0.724699097	0.470460391	0.046233112	0.126755918	0.066960346
AHR	0.564541239	0.722580279	0.470618761	0.046283366	0.125207816	0.067012407
HCN4	0.564737253	0.756656198	0.470777071	0.04633363	0.15422039	0.06706448
PPM1B	0.564932977	0.853840645	0.470935241	0.046383895	0.349911923	0.067116553
ATP12A	0.565128488	0.871230303	0.471093317	0.046434165	0.435860241	0.067168632
PYGM	0.565323742	0.877007041	0.47140907	0.046484439	0.473473381	0.067272793
GRIK5	0.565518743	0.774010238	0.471566768	0.046534715	0.173313645	0.067324878
ANO9	0.565713655	0.879943989	0.471881963	0.046585007	0.494974795	0.067429078
TENM3	0.56590829	0.766130099	0.47203937	0.0466353	0.164197046	0.067481181
WDR43	0.566102705	0.619005626	0.383618173	0.046685599	0.072964058	0.043290287
CITED2	0.566296936	0.849037882	0.472196738	0.046735906	0.331392039	0.067533298
SCAP	0.566491128	0.695955724	0.466308456	0.046786233	0.107951052	0.06560889
LRP4	0.566685063	0.811727654	0.472354132	0.046836562	0.231338794	0.067585438
SH3PXD2B	0.566878805	0.639180351	0.402752392	0.046886899	0.080550094	0.0477738
UBR2	0.567072277	0.746280182	0.472668578	0.046937238	0.144358408	0.067689728
SLC25A11	0.567265515	0.680731443	0.449692527	0.04698758	0.099550024	0.060450232
BRWD1	0.567458479	0.091775987	0.02879997	0.047037923	0.003029902	0.001053224
UBA6	0.567651236	0.840135955	0.472982677	0.047088272	0.301347397	0.067794048
ZNF804A	0.567843788	0.826105879	0.473296304	0.047138627	0.262759527	0.067898379
LOXL3	0.568036137	0.875694547	0.473452969	0.047188989	0.464414119	0.067950552
PTPRD	0.568228304	0.002768986	0.000726187	0.047239359	5.58E-05	1.65E-05
SLC12A4	0.568420214	0.855606185	0.473765992	0.047289731	0.357193736	0.068054914
ADCY4	0.5686119	0.878431216	0.473922352	0.047340107	0.483679385	0.068107103
LPGAT1	0.568803324	0.472686097	0.266351082	0.047390485	0.036944921	0.022221135
NRXN2	0.5689945	0.764299767	0.474078605	0.047440866	0.162190247	0.068159296
PCSK5	0.569185437	0.580644241	0.354421029	0.047491249	0.060767498	0.037083068
LRRC8A	0.569376105	0.794319977	0.474390739	0.047541633	0.201064803	0.068263687
MACROD1	0.569566506	0.829556905	0.474546616	0.047592018	0.271417429	0.068315885
SHISA7	0.569756781	0.825086662	0.474858108	0.047642416	0.260294031	0.068420301
PRKD1	0.569946985	0.006762427	0.001982336	0.047692831	0.000148157	4.97E-05
PARN	0.570137037	0.833510791	0.475635124	0.047743256	0.281967456	0.068681436
BAZ1A	0.570326867	0.525071933	0.304576742	0.047793685	0.046965522	0.028046774
MAP3K5	0.570516432	0.380226888	0.195108085	0.047844115	0.023935322	0.013450335
DISP2	0.570705885	0.809010577	0.476100105	0.047894559	0.226121118	0.068838173
SH3PXD2A	0.570895131	0.778133188	0.476564221	0.047945008	0.178416648	0.06899496
GNMT	0.57108418	0.883300437	0.476873076	0.047995464	0.521865896	0.069099501
FBN2	0.571273101	0.033852021	0.009531441	0.048045931	0.000911238	0.000287583
KIDINS220	0.571461808	1.92E-05	4.38E-06	0.048096404	2.73E-07	7.00E-08
IGF1R	0.571650307	0.394530447	0.206581972	0.048146882	0.025645335	0.014694865
MXRA8	0.571838585	0.894389573	0.477335733	0.048197364	0.633787922	0.069256367
INPP4B	0.57202671	0.795972631	0.477489822	0.048247856	0.203644973	0.069308676
PDZD8	0.572214575	0.620737926	0.390615067	0.048298349	0.07358036	0.044888448
KIF16B	0.572402488	0.872511035	0.477951699	0.048348869	0.443715424	0.069465661
NBEAL1	0.57259026	0.852882341	0.47810553	0.048399399	0.346070338	0.069518009
SGSM1	0.572778019	0.826550951	0.478566453	0.048449951	0.263848931	0.069675087
ELOVL4	0.572965521	0.49728759	0.286640658	0.048500504	0.0413589	0.025208438
EHD2	0.573152772	0.836881147	0.478719925	0.048551059	0.291542752	0.06972746
